Date,Daily_HH,Daily_HH_NO
4/2/2012,1.88,1.88
4/3/2012,1.94,1.94
4/4/2012,2.06,2.06
4/5/2012,1.98,1.98
4/9/2012,1.99,1.99
4/10/2012,1.99,1.99
4/11/2012,1.91,1.91
4/12/2012,1.87,1.87
4/13/2012,1.87,1.87
4/16/2012,1.88,1.88
4/17/2012,1.89,1.89
4/18/2012,1.87,1.87
4/19/2012,1.85,1.85
4/20/2012,1.82,1.82
4/23/2012,1.89,1.89
4/24/2012,1.97,1.97
4/25/2012,1.99,1.99
4/26/2012,2.1,2.1
4/27/2012,2.05,2.05
4/30/2012,2.1,2.1
5/1/2012,2.29,2.29
5/2/2012,2.31,2.31
5/3/2012,2.29,2.29
5/4/2012,2.3,2.3
5/7/2012,2.3,2.3
5/8/2012,2.27,2.27
5/9/2012,2.36,2.36
5/10/2012,2.36,2.36
5/11/2012,2.37,2.37
5/14/2012,2.41,2.41
5/15/2012,2.38,2.38
5/16/2012,2.5,2.5
5/17/2012,2.6,2.6
5/18/2012,2.56,2.56
5/21/2012,2.6,2.6
5/22/2012,2.55,2.55
5/23/2012,2.6,2.6
5/24/2012,2.66,2.66
5/25/2012,2.56,2.56
5/29/2012,2.5,2.5
5/30/2012,2.39,2.39
5/31/2012,2.34,2.34
6/1/2012,2.24,2.24
6/4/2012,2.32,2.32
6/5/2012,2.39,2.39
6/6/2012,2.41,2.41
6/7/2012,2.33,2.33
6/8/2012,2.22,2.22
6/11/2012,2.22,2.22
6/12/2012,2.17,2.17
6/13/2012,2.18,2.18
6/14/2012,2.2,2.2
6/15/2012,2.44,2.44
6/18/2012,2.45,2.45
6/19/2012,2.59,2.59
6/20/2012,2.6,2.6
6/21/2012,2.48,2.48
6/22/2012,2.5,2.5
6/25/2012,2.7,2.7
6/26/2012,2.7,2.7
6/27/2012,2.87,2.87
6/28/2012,2.81,2.81
6/29/2012,2.74,2.74
7/2/2012,2.73,2.73
7/3/2012,2.78,2.78
7/5/2012,2.9,2.9
7/6/2012,2.94,2.94
7/9/2012,2.79,2.79
7/10/2012,2.87,2.87
7/11/2012,2.72,2.72
7/12/2012,2.83,2.83
7/13/2012,2.88,2.88
7/16/2012,2.92,2.92
7/17/2012,2.83,2.83
7/18/2012,2.84,2.84
7/19/2012,2.99,2.99
7/20/2012,3.03,3.03
7/23/2012,3.05,3.05
7/24/2012,3.16,3.16
7/25/2012,3.19,3.19
7/26/2012,3.13,3.13
