time,value
799,260
800,260
801,260
802,272
803,281
804,288
805,288
806,289
807,294
808,293
809,293
810,281
811,279
812,283
813,283
814,280
815,277
816,277
817,280
818,278
819,279
820,279
821,279
822,277
823,277
824,270
825,270
826,288
827,288
828,293
829,290
830,288
831,288
832,284
833,284
834,292
835,292
836,292
837,289
838,291
839,287
840,276
841,276
842,283
843,285
844,276
845,276
846,285
847,284
848,293
849,293
850,283
851,279
852,271
853,277
854,277
855,270
856,265
857,271
858,273
859,269
860,269
861,270
862,270
863,270
864,267
865,267
866,267
867,274
868,274
869,271
870,267
871,270
872,274
873,269
874,269
875,269
876,261
877,261
878,262
879,262
880,260
881,266
882,257
883,247
884,237
885,237
886,234
887,235
888,235
889,235
890,249
891,248
892,247
893,247
894,254
895,242
896,243
897,246
898,237
899,237
900,228
901,218
902,214
903,214
904,215
905,198
906,192
907,192
908,204
909,204
910,219
911,219
912,214
913,213
914,205
915,202
916,202
917,205
918,210
919,210
920,218
921,218
922,214
923,214
924,214
925,214
926,211
927,211
928,219
929,214
930,210
931,206
932,201
933,200
934,195
935,179
936,170
937,166
938,170
939,179
940,174
941,176
942,173
943,163
944,163
945,163
946,211
947,239
948,228
949,228
950,228
951,239
952,233
953,237
954,235
955,247
956,254
957,240
958,228
959,221
960,218
961,218
962,223
963,218
964,222
965,221
966,216
967,226
968,226
969,215
970,228
971,228
972,207
973,206
974,207
975,208
976,223
977,217
978,216
979,215
980,208
981,208
982,195
983,193
984,189
985,183
986,186
987,185
988,185
989,178
990,178
991,162
992,157
993,160
994,159
995,149
996,156
997,160
998,161
999,172
1000,174
1001,168
1002,181
1003,177
1004,184
1005,184
1006,179
1007,179
1008,179
1009,178
1010,178
1011,178
1012,177
1013,187
1014,198
1015,188
1016,196
1017,196
1018,191
1019,196
1020,199
1021,190
1022,197
1023,201
1024,193
1025,171
1026,176
1027,194
1028,194
1029,196
1030,192
1031,197
1032,197
1033,188
1034,188
1035,189
1036,191
1037,194
1038,203
1039,205
1040,186
1041,201
1042,201
1043,201
1044,201
1045,196
1046,191
1047,197
1048,191
1049,183
1050,181
1051,196
1052,191
1053,177
1054,177
1055,177
1056,177
1057,212
1058,225
1059,230
1060,231
1061,232
1062,232
1063,236
1064,234
1065,246
1066,255
1067,255
1068,262
1069,262
1070,259
1071,274
1072,279
1073,282
1074,269
1075,271
1076,279
1077,289
1078,294
1079,294
1080,289
1081,289
1082,282
1083,282
1084,278
1085,280
1086,288
1087,288
1088,281
1089,279
1090,270
1091,283
1092,283
1093,276
1094,276
1095,280
1096,280
1097,284
1098,284
1099,279
1100,297
1101,297
1102,279
1103,289
1104,289
1105,288
1106,285
1107,285
1108,276
1109,270
1110,270
1111,275
1112,275
1113,276
1114,275
1115,267
1116,275
1117,275
1118,282
1119,289
1120,291
1121,297
1122,295
1123,295
1124,295
1125,288
1126,288
1127,288
1128,277
1129,288
1130,293
1131,304
1132,304
1133,307
1134,298
1135,297
1136,300
1137,312
1138,319
1139,318
1140,306
1141,306
1142,309
1143,307
1144,298
1145,284
1146,284
1147,283
1148,283
1149,304
1150,302
1151,318
1152,317
1153,317
1154,316
1155,318
1156,321
1157,325
1158,318
1159,312
1160,292
1161,278
1162,269
1163,269
1164,272
1165,272
1166,285
1167,253
1168,253
1169,241
1170,220
1171,237
1172,234
1173,222
1174,208
1175,208
1176,226
1177,249
1178,249
1179,237
1180,260
1181,281
1182,273
1183,276
1184,276
1185,276
1186,296
1187,302
1188,332
1189,332
1190,344
1191,344
1192,375
1193,380
1194,368
1195,375
1196,360
1197,365
1198,355
1199,356
1200,351
1201,355
1202,339
1203,350
1204,350
1205,360
1206,360
1207,370
1208,370
1209,371
1210,371
1211,371
1212,341
1213,342
1214,342
1215,338
1216,314
1217,321
1218,327
1219,336
1220,336
1221,336
1222,337
1223,326
1224,325
1225,323
1226,316
1227,316
1228,326
1229,344
1230,331
1231,322
1232,300
1233,315
1234,313
1235,313
1236,292
1237,303
1238,305
1239,311
1240,311
1241,293
1242,285
1243,295
1244,288
1245,275
1246,275
1247,256
1248,252
1249,263
1250,263
1251,244
1252,254
1253,254
1254,259
1255,250
1256,268
1257,268
1258,259
1259,283
1260,298
1261,304
1262,302
1263,302
1264,284
1265,285
1266,293
1267,309
1268,302
1269,293
1270,297
1271,294
1272,295
1273,303
1274,308
1275,313
1276,313
1277,306
1278,322
